Wells,cDNA,Primers,Presence
B02,1-1,GAPDH,Pos
B03,1-2,GAPDH,Pos
B04,1-3,GAPDH,Pos
B05,1-4,GAPDH,Pos
B06,1-5,GAPDH,Pos
B07,1-6,GAPDH,Pos
B08,1-7,GAPDH,Pos
B09,1-8,GAPDH,Pos
B10,1-9,GAPDH,Pos
B11,1-10,GAPDH,Pos
B12,1-11,GAPDH,Pos
B13,NTC,GAPDH,Pos
C02,1-1,GAPDH,Pos
C03,1-2,GAPDH,Pos
C04,1-3,GAPDH,Pos
C05,1-4,GAPDH,Pos
C06,1-5,GAPDH,Pos
C07,1-6,GAPDH,Pos
C08,1-7,GAPDH,Pos
C09,1-8,GAPDH,Pos
C10,1-9,GAPDH,Pos
C11,1-10,GAPDH,Pos
C12,1-11,GAPDH,Pos
C13,NTC,GAPDH,Pos
D02,2-1,GAPDH,Pos
D03,2-2,GAPDH,Pos
D04,2-3,GAPDH,Pos
D05,2-4,GAPDH,Pos
D06,2-5,GAPDH,Pos
D07,2-6,GAPDH,Pos
D08,2-7,GAPDH,Pos
D09,2-8,GAPDH,Pos
D10,2-9,GAPDH,Pos
D11,2-10,GAPDH,Pos
D12,2-11,GAPDH,Pos
E02,2-1,GAPDH,Pos
E03,2-2,GAPDH,Pos
E04,2-3,GAPDH,Pos
E05,2-4,GAPDH,Pos
E06,2-5,GAPDH,Pos
E07,2-6,GAPDH,Pos
E08,2-7,GAPDH,Pos
E09,2-8,GAPDH,Pos
E10,2-9,GAPDH,Pos
E11,2-10,GAPDH,Pos
E12,2-11,GAPDH,Pos
F02,3-1,GAPDH,Pos
F03,3-2,GAPDH,Pos
F04,3-3,GAPDH,Pos
F05,3-4,GAPDH,Pos
F06,3-5,GAPDH,Pos
F07,3-6,GAPDH,Pos
F08,3-7,GAPDH,Pos
F09,3-8,GAPDH,Pos
F10,3-9,GAPDH,Pos
F11,3-10,GAPDH,Pos
F12,3-11,GAPDH,Pos
G02,3-1,GAPDH,Pos
G03,3-2,GAPDH,Pos
G04,3-3,GAPDH,Pos
G05,3-4,GAPDH,Pos
G06,3-5,GAPDH,Pos
G07,3-6,GAPDH,Pos
G08,3-7,GAPDH,Pos
G09,3-8,GAPDH,Pos
G10,3-9,GAPDH,Pos
G11,3-10,GAPDH,Pos
G12,3-11,GAPDH,Pos
H02,1-1,IFN-b,Pos
H03,1-2,IFN-b,Pos
H04,1-3,IFN-b,Pos
H05,1-4,IFN-b,Pos
H06,1-5,IFN-b,Pos
H07,1-6,IFN-b,Pos
H08,1-7,IFN-b,Pos
H09,1-8,IFN-b,Pos
H10,1-9,IFN-b,Pos
H11,1-10,IFN-b,Pos
H12,1-11,IFN-b,Pos
H13,NTC,IFN-b,Pos
I02,1-1,IFN-b,Pos
I03,1-2,IFN-b,Pos
I04,1-3,IFN-b,Pos
I05,1-4,IFN-b,Pos
I06,1-5,IFN-b,Pos
I07,1-6,IFN-b,Pos
I08,1-7,IFN-b,Pos
I09,1-8,IFN-b,Pos
I10,1-9,IFN-b,Pos
I11,1-10,IFN-b,Pos
I12,1-11,IFN-b,Pos
I13,NTC,IFN-b,Pos
J02,1-1,IFN-b,Neg
J03,1-2,IFN-b,Neg
J04,1-3,IFN-b,Neg
J05,1-4,IFN-b,Neg
J06,1-5,IFN-b,Neg
J07,1-6,IFN-b,Neg
J08,1-7,IFN-b,Neg
J09,1-8,IFN-b,Neg
J10,1-9,IFN-b,Neg
J11,1-10,IFN-b,Neg
J12,1-11,IFN-b,Neg
L02,1-1,STING,Pos
L03,1-2,STING,Pos
L04,1-3,STING,Pos
L05,1-4,STING,Pos
L06,1-5,STING,Pos
L07,1-6,STING,Pos
L08,1-11,STING,Pos
L09,2-1,STING,Pos
L10,2-2,STING,Pos
L11,2-3,STING,Pos
L12,2-4,STING,Pos
L13,2-5,STING,Pos
L14,2-6,STING,Pos
L15,2-11,STING,Pos
L16,3-1,STING,Pos
L17,3-2,STING,Pos
L18,3-3,STING,Pos
L19,3-4,STING,Pos
L20,3-5,STING,Pos
L21,3-6,STING,Pos
L22,3-11,STING,Pos
L23,NTC,STING,Pos
M02,1-1,STING,Pos
M03,1-2,STING,Pos
M04,1-3,STING,Pos
M05,1-4,STING,Pos
M06,1-5,STING,Pos
M07,1-6,STING,Pos
M08,1-11,STING,Pos
M09,2-1,STING,Pos
M10,2-2,STING,Pos
M11,2-3,STING,Pos
M12,2-4,STING,Pos
M13,2-5,STING,Pos
M14,2-6,STING,Pos
M15,2-11,STING,Pos
M16,3-1,STING,Pos
M17,3-2,STING,Pos
M18,3-3,STING,Pos
M19,3-4,STING,Pos
M20,3-5,STING,Pos
M21,3-6,STING,Pos
M22,3-11,STING,Pos
M23,NTC,STING,Pos
N02,1-1,cGAS,Pos
N03,1-2,cGAS,Pos
N04,1-7,cGAS,Pos
N05,1-8,cGAS,Pos
N06,1-9,cGAS,Pos
N07,1-10,cGAS,Pos
N08,1-11,cGAS,Pos
N09,2-1,cGAS,Pos
N10,2-2,cGAS,Pos
N11,2-7,cGAS,Pos
N12,2-8,cGAS,Pos
N13,2-9,cGAS,Pos
N14,2-10,cGAS,Pos
N15,2-11,cGAS,Pos
N16,3-1,cGAS,Pos
N17,3-2,cGAS,Pos
N18,3-7,cGAS,Pos
N19,3-8,cGAS,Pos
N20,3-9,cGAS,Pos
N21,3-10,cGAS,Pos
N22,3-11,cGAS,Pos
N23,NTC,cGAS,Pos
O02,1-1,cGAS,Pos
O03,1-2,cGAS,Pos
O04,1-3,cGAS,Pos
O05,1-4,cGAS,Pos
O06,1-5,cGAS,Pos
O07,1-6,cGAS,Pos
O08,1-11,cGAS,Pos
O09,2-1,cGAS,Pos
O10,2-2,cGAS,Pos
O11,2-3,cGAS,Pos
O12,2-4,cGAS,Pos
O13,2-5,cGAS,Pos
O14,2-6,cGAS,Pos
O15,2-11,cGAS,Pos
O16,3-1,cGAS,Pos
O17,3-2,cGAS,Pos
O18,3-3,cGAS,Pos
O19,3-4,cGAS,Pos
O20,3-5,cGAS,Pos
O21,3-6,cGAS,Pos
O22,3-11,cGAS,Pos
O23,NTC,cGAS,Pos
